name,lat,lon,type,rating,user_ratings_total,photo_reference,amenity_score
Goodmorning Solo Traveler Hostel,38.7155,-9.1419,Hostel,4.3,7018,places/ChIJX5l2InrcHg0RrUOhKpKb5zk/photos/ATCDNfWf5hYyRYKwHN8yg9qGwSw83-u4KfyaVlpTvBhO_CfqBJA4CPmGFjsfDp1Hkpv_nJS3k6qQaZdMCLnJSb7j166bIIf9FXUvuEPqZ2UkEcD3V466ZEn49mUlaEvSP0jupnMguGsFml5LOFJyoioWQMyb5HKui5ZqUvW1DBIUNjsDjErLr9URhYsxCSYe9mizsR6GHMLyxYGwRIzcwxyKWogkyICx2KSrZEz7ysVRpjwjMiaLwJXcJuIXa2HTIc_GJCXbu6C8bMdQjX1m1nCWAiKE1yvUf7VJTX_yNrdg1PrhUQ,100
Home Lisbon Hostel,38.7106,-9.1355,Hostel,4.7,1654,places/ChIJMchntnk0GQ0RUffIYHPfHik/photos/ATCDNfVXvdiHzMAiSc4VbrJXcMY-VDeB3uX5dZv1jJdy_Ln2uxdXLjZAnhtSH6GpL3n8XqqzOa_zyYw3EUe9FpOjXHD30ToodRjM1r9D1R2215r-5343H_IhstmvOFLRcdPn53rUJrgR-P28FYMF_JfL5qvc4cJ5cMIsegjA7y_FerQwp4IhwS5-WUii09mXGveNaJhfpyON10JPbQLtXM7VcK0NBOdN2k32VzQWHCWKTRFYDSRh2yY0d0eeEsmB-9ddXi7MBX3KQeRGt-jQ2VesJZxk4MNRDr5n0ooVIGCJ01-mTw,100
Yes! Lisbon Hostel,38.7116,-9.1383,Hostel,4.3,7018,places/ChIJX5l2InrcHg0RrUOhKpKb5zk/photos/ATCDNfWcaZ7jBcpIq4ixBbnMnwjxPgkrBq_Ulhgedl-TZzwkucqPO_1qkq2aa0_2RCTq9OVs36k6kj23DfcoFPO43FvWOgBpKgmBJ94g95MioIG_4zsMzAmRs-EggNVwRHF9brYklKmpIN8f3u2QnZ55nurC8jM67BnbmSUaZolXIAPPmOhFO5t7APuIqFBvJLRupnH0LmP_SgXP1z1nslmR8oPYmw3Cb4_a8UGnTP6qR4TSUymF-oWujg0amgHZ7d2SI_uPSl3aMJOmoX6ckf8rd6FwWBbeeU7frHUN1unLA-vTOA,100
Monchique Resort,37.3215,-8.5672,Campsite,,0,,100
Faro Camper Park,37.0179,-7.9308,Campsite,4.2,911,places/ChIJTbMyU8ZSBQ0RmPhGGRDmY0Q/photos/ATCDNfWNegS6Y00gQYlpG3Mj8MfjzaZEBFvChXhfqbywqFtDYrc91kQ_kgRTrKB0SziuUEt4zJBYTmkUexc905y12TwoEuQL7b2oB3rY9mqb9D2yqI0s5nC2VINPu99oS8jMN-_rhBxAuGmzvtOKPGGDyNVJYhkRCLEu8m7De3S9ocaoz-fxO9sN4JcxL8exgQaMDaxajJgzffrf7_uyyz-cK0KNLXJSmg5ArdPUSbRMyM9Qxc9NiRRI-wMJOjMzSroWaYAvrym34T4oDfkozNyMhm-XTxoctxxsisNxaHqaU-9BtQ,50
Algarve Camping,37.03,-7.95,Campsite,4.1,2135,places/ChIJT5cC-VKtGg0Rzan88s3IxuU/photos/ATCDNfV-hiy6VuDigjLI8tUvv5X87NIHOrNU28Muq5qf5pbshlUlPv0Fesn0gNCLPNMm-QJcMcZYDTpS4tb-DaDriW1VKdKdw82zvImGHavkG7LN5Jp-Q9rmoBNCGgzl9xePyddbyoMvv-FrY3Mg6hggWUxkahAS6gLdokSqZJ6ODJuweikZGCgV_FCnGAzknNEX-GY2dTyaiMob3mNE2DGxurJQruLXi-P3sOeHGN0rGDHMExAkinuCeGYVom-eLJzRGVdO4x7d20bzLj0zo-5PKWFuBsa27s2eFefakQRGRYidIQ,50
Praia da Ponta dos Corvos,38.6516379,-9.1145292,Beach,3.9,289,places/ChIJ63emKec1GQ0RWa6eHBKihVI/photos/ATCDNfX0eeRshzt4xGoeK_4mrerr7Ajpuorg2uoCyL6tN6TkASK5X3sUFT8RdRABTAWu3RP45mavQ8mngsrW_Ef6XgOkldXY1O-CnoMFEKNdQGvq_ZIiBwQc4AeDr4hYOtJSOjQ9HPnXbhbocZsbDu1XLrhSdyzNxboGtATIAr21jF96ylPjsfJr6S5i6sXaN9rBs20URrd9K62J8tVwxod5qlDzBkj_sVmPjrWT2Orw3-F10xWgFLs5KGcL-vuZpJV2buCHbA0awT2YkKQQBZW3MUl3o81Vd7UgF_Tln2UiAz5fB_GzMewoVOuOXWyL6hi9_PaB67BFYZLcMPnPILcxCHuwxJoGqPO9VXET6clQqZA5iUjbFC8N-mkIgaFkLH5q6Hj3ehvyAhE6Dv-1lbBMORCiKdeCl9u7gWEjQhZdEE3aSw,50
Beach Dafundo,38.6982128,-9.2401774,Beach,3.7,795,places/ChIJUb8NeoTLHg0RopMoK9xWsLo/photos/ATCDNfXp5eacPv3NSBAjoqxVuKnDqQG_8Zf7ztOkwtGgDXZ5WDUD0Fiq1E8FOtGHt3Mm3eAfOMSWCzH94wJy0Jg7j4rK4W6CfU2YJtwoz5lulYKgaxTr6QqdSCAETYuhKWsRaw9SFVrtzop47PWG74Yu1mErAyP91YmVy4-yu5WIpNGTXtzBu1U3i-hJqvhOExnd1HympfI5LB9Q2_EtE5ye_Vx6_CM-rglxfyXnS2dEpyLlAqbXC-9_wMQPZOSaABsPRhLpEz6loP8f25PL4gKylSoV8o6OG2v12fLnB8MATadB3lQh1yeP1OsJ9Z0Wgd6zW2IlevIZsV0MIIACv9J7My3eaST5tLRBfBekNsmwpTvgE5jV99h_H7Bn6G7incQGJR0X9UzMvSFFoIQPxnBy4sTU3q9lVrulq2Uu_-h4JMWOnw,50
Cruz Quebrada beach,38.6994417,-9.2517097,Beach,3.6,1324,places/ChIJg0yZT4nLHg0RkdyNoWoyRhk/photos/ATCDNfUuGyQ6y5gYhnrx-7JU3L63HinxJX4Bbk7vapCIkceItfitYrPDMpJAAopJ60SainCgSE19NcpJTiIkFnIboK4Lpx0a9PNsM8EWOnjk9pVXoMidUaNBkl9ty6oBQzTOlxfrZHXpRJ5G12K6Uo_O1kXti8A5FhG1ESE2_uOVIGuunIJQWJkQXRMjnXvRtLBMHNgrz6XHGY9KeXttQhkWcTodrjAerXYkea6hHWFW4l9Nwaq9MKKxyqF_Wj1hgLNAszBpT9Pr996jSRGAofrn_oePo2HleckhoMEmy5s44pRms1KTS5zIy0xcu57fqnRKw8cBKjkmhAi2KQxKJZXtUDDYFVJe9IrY1g-_fXMTVATE6Op78Ip0cvR_Mo9kB5uBN4DM9Kk0J1gFhZuzLXBzuUMF273AcmEdwJxMWHgIaJ6iZw,50
Praia do Segundo Torrão,38.6712689,-9.2431875,Beach,4,75,places/ChIJsUaaUq7LHg0RhL4TnefNUiY/photos/ATCDNfXHT3w9Yyek8hvzdFzWQ9pSShQBA0PJHRNbIRXk8UHEeEDy2ty35N_KDBhBEy3mGx98GxShopLTAM2UR1pU2O2DxcFgI0EFu_sjXYotHDFZkqH4J649bMop68FEOEtxi1zeqRlwjZgAoaBE-gpb0LvQLLuIGjgv8wDXwgJjD50aokwZ2TkWE74MJWpaWSkrXIw6k85eHG0CRrSkbq9Hf7U1fqYDbFQUXpY39_YLvCAptQVQ6GAVHSfAXyQlz1IvdaAHnKv9xPF1DvpZUjLJU2uMGvCbJvBaiP_P2mBYASeqvUhJI9qUxu3C7F4pc2buQZ1bmfzZopaq-yXRWegRGqQPwaTljfBXAEoHu2PK3qVpKiiPLJx5dClrpcXHxxU9Eqi9xWsFVdbfomMmsfHnqc-J2Im0KrWmNL-QqOv7xWQph0PF,50
